airport,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,ExpressJet Airlines LLC,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Horizon Air,JetBlue Airways,Mesa Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
ABE,,,2.3964698681576815,,,1.2080810628994283,1.4638916918937102,1.368294239996705,2.320566920466012,1.2076185671039354,,,,,1.275882946518668,1.7626877188817,1.1594349142280524,1.9709132189707366,,,,,
ABI,,,,,3.05146316851665,,,2.52130538482708,1.4325176589303734,,,,,,,,,1.732425159771275,,,,,
ABQ,,1.244131765327197,1.1771224035184586,2.8410642014691363,2.5251009081735623,1.7743642361081668,,1.5527845850752007,1.5433980450923988,1.2544778002018164,1.3058815049733314,,1.0620197159046807,1.4311168941526369,2.3780692902791793,,1.223617823570025,3.1174967228420267,2.7157753111335348,1.4148102150120314,1.0954303012829754,2.047079969727548,
ABR,,,,,,,,,,,,,,,,,,1.4965607130844265,,,,,
ABY,,,,,,,1.4555467290722888,,1.9666179287052863,,,,,,,,,1.9324756138580559,,,,,
ACK,,,,,,,1.4177159654279823,1.2045072317524386,,,,,,2.166745996991794,,,1.5091019172552977,,,,,,
ACT,,,,,2.1128910191725527,,,1.9435317860746721,2.4168203486551376,,,,,,,,,1.7877960467739062,,,,,
ACV,,,,,,,,,,,,,,,,,,2.7893517851136416,,,,,
ACY,,,,,,,,,1.6112792914003813,,,,,,,,,,,3.2756138580558356,,,
ADK,,1.0621043940922852,,,,,,,,,,,,,,,,,,,,,
ADQ,,1.3115727497894272,,,,,,,,,,,,,,,,,,,,,
AEX,,,,,1.989656912209889,,1.6515250154617362,1.7001345442314162,2.804666238571385,1.748065926673394,,,,,,1.4838158813940852,,1.9190288352750513,,,,,
AGS,,,,1.2421796165489405,,1.5537419190295072,1.8806572586110817,1.4328750420450724,2.4340565085771946,,,,,,1.8453077699293643,2.2083829088663647,1.3804238143289607,1.9503387631541012,,,,1.0494450050454087,
AKN,,1.1290867810292633,,,,,,,,,,,1.287991927346115,,,,,,,,,,
ALB,,,1.4387027103581356,1.789193651958536,,1.8739251554589598,1.5806355560702057,1.543773965691221,1.7828323766356222,1.259460141271443,1.3726337033299698,,,1.9591050638542582,1.2901350247465282,2.4441448445848706,1.625810869251838,1.84825191428741,3.360707909648374,,1.3709033475189751,1.9135892759607107,
ALO,,,,,2.005676084762866,,,1.5223274531020143,,,,,,,,,,2.0152483462271555,,,,,
ALS,,,,,,,,,,,,,,,,,,1.7937941473259333,,,,,
ALW,,,,,,,,,,,,,1.3074335687857384,,,,,1.1730575176589304,,,,,
AMA,,,1.164143962327615,1.8441178943827783,1.608728557013118,,,1.671285471684182,1.8858579676101304,1.8366633030608812,,,,,2.6192466895941022,,,1.7518520341611086,2.507490491345184,,,,
ANC,,4.157858224016145,1.0,1.9023364123263216,,2.211458683708936,,,,,1.1661621257988564,,2.7317764643698044,1.7341528300155948,,,,,,,1.2352037906374764,2.0385799784265286,1.0792129162462158
APN,,,,,,,,,,,,,,,,,,1.645761432726471,,,,,
ART,,,,,1.7605953582240161,,,1.4243188698284561,,,,,,,,1.7319206189034646,,,,,,,
ASE,,,,,1.935822401614531,,,1.8413218970736631,,,,,,,,,,2.902881031322721,,,,,
ATL,,1.3481248592706256,,3.6708558847812127,4.955600403632694,,3.7643794147325935,1.79803229061554,1.0615539858728558,1.749915909855365,2.9734868720444787,,,2.9432332856170653,2.54784128585844,2.0363566213569184,3.2901703567400724,2.665328868911109,3.4266397578203835,3.612041708711739,4.257407577286488,3.054899896166952,
ATW,,,1.7742860346291225,,,1.35177550333958,1.6799221159449127,1.5903128153380424,2.2871881415498105,,,,,,,1.2108980827447022,1.2748065926673393,2.242198477889793,,,,,
ATY,,,,,,,,,,,,,,,,,,1.4823410696266397,,,,,
AUS,1.2920127299542032,1.9733385594315784,2.213413024916557,3.1048003459708804,,3.2340911957618568,1.385178141737173,1.3583616182001652,1.3599718898659363,1.0459852962375666,2.033705216103813,1.1995198162775322,1.3104302357581874,3.1546638190314775,2.133340691220989,1.0184157416750756,1.4844243351453403,2.741382116467563,3.444729841298963,2.6385513096126,1.7256175141490808,3.393928333726947,1.7898587285570131
AVL,,,3.171625712493523,1.927850655903128,,1.63836345289423,1.6045841141703905,1.646384123780693,2.3228085023273985,1.0252270433905146,,,,1.451636153957042,1.44276614530777,2.5487264165367094,1.422919915604073,2.2458142701791854,,1.2793321713604255,,1.4998623979451426,
AVP,,,1.046417759838547,2.121731951197138,,1.228210141271443,1.3314536712767853,1.4167849629718312,2.175222160736955,1.1763874873864784,,,,,1.21372351160444,1.7308390902740043,1.1191492664751999,1.872132777083302,,,,,
AZA,,,4.478304742684157,,,,,,,,,,,,,,,,,,,,
AZO,,,,,1.7202320887991926,,1.6498688193743694,1.6781776731322644,1.7573695171436545,1.279179280188362,,,,,,,,2.0026659690299113,,,,,
BDL,1.4928199953426997,,,2.9856733860558986,1.9877648839556004,2.9959156215462976,1.7015520638124069,1.3391341747861905,1.9648129461449342,1.0829969727547932,2.0355948635761063,,,3.4662172316808726,1.6609951098346658,2.4342677850655905,1.6682915469999222,1.5583458675247035,3.427241002354524,2.3112353284826597,2.428903610757689,2.440614176234762,
BET,,1.3857027295243973,,,,,,,,,,,,,,,,,,,,,
BFF,,,,,,,,,,,,,,,,,,1.8133050394729033,,,,,
BFL,,,,2.881753967525915,,,,1.2884964682139253,,,1.1193599538705492,,,,2.2504540867810294,,,2.828195135530116,,,,,
BFM,,,,,,,,,,,1.2069393774741908,,,,,,,,,,,,
BGM,,,,,,,1.3994669978524672,,1.2831195041084043,,,,,,,,,1.894013333112769,,,,,
BGR,,,1.3644120614946282,1.8643949390669876,,1.2515684640021059,2.2138452420995307,1.2181757025349356,1.8508409014463505,1.637638748738648,,,,,,2.232221137781013,1.6809283551967709,1.2627216375955024,,,,1.0140010090817355,
BHM,,,,2.221197675632416,1.6226034308779012,2.551906816521104,1.671415621953514,2.0931303075998597,3.4265205027061736,1.9002196236718705,1.3272452068617557,,,,2.281876171255586,3.185498757106643,1.4904137235116044,2.2382964537984718,3.365020478423458,,1.0,1.0183652875882947,
BIH,,,,,,,,,,,,,,,,,,1.904957114026236,,,,,
BIL,,,1.35982667537247,,,1.6324552551914602,1.2492431886982847,1.3007694248234107,1.2656517351818541,,1.117088277253906,,1.5044567776656577,,1.0731584258324924,,1.048099562731248,1.916624621594349,,,,1.7792045072317526,
BIS,,,1.3928889416513326,,,1.3683877791691488,1.3522255858280077,1.5826138954292335,1.560562302098194,,1.1622442895147234,,,,1.5936004687347416,,,2.7868404930085053,,,,,
BJI,,,,,,,,,,,,,,,,,,1.582048352528125,,,,,
BKG,,,,,,,,,,,1.2576762289173995,,,,,,,,1.8952389689019356,,,,
BLI,,1.3380050080352806,1.9097248369655255,,,,,,,,1.100043246360098,,1.699083417423478,,,,,1.4563740329633368,1.9848637739656914,,,,
BLV,,,2.1019487891019173,,,,,,,,,,,,,,,,,,,,
BMI,,,1.2261233454027423,,2.2158173562058527,1.2830739816240906,1.513056906094242,1.8081082685344572,2.079375671364865,,1.190479749847392,,,,2.0985182431355884,,,1.8676448693983558,,,,,
BNA,,1.4264001009081735,2.5802466097314856,3.5385197547155167,,3.334912765615174,2.227569867941912,2.6843336056252305,2.605406101724027,2.4972250252270434,1.986298171143598,,,2.371033748178047,1.8483583016378173,2.297859843065199,3.0375826886422246,3.201347844889722,2.2558022199798184,2.5804548629977493,1.7873469924976968,2.741177641022726,1.165633559175436
BOI,,1.5706854649592814,1.5285807562177243,1.9515857773726983,,1.7985397993708079,1.0300201816347123,1.3013661414266864,,,1.215359286207446,,3.326067944836865,1.3629330642448705,1.6940759518594177,,1.0995206861755802,3.615127052563985,3.312405052061964,1.6324613832181945,1.4292545957092089,1.7667749238948858,
BOS,2.3376639757820383,2.238360764118445,1.4316688030108817,3.0521358896737305,,2.9120264195945325,2.2260077539964946,2.0949864570609167,2.9529415533451857,1.0968718466195762,1.6894503360432571,1.2245543222334343,,2.371342078708375,1.1697550683423539,1.1466532122435251,2.7385132862428523,1.617305751765893,2.7500987145176152,3.3577633483964373,,2.422029030505317,2.05551818215794
BPT,,,,,1.4191473259334006,,,1.5432611451784006,2.025899764547595,,,,,,,,,1.705045408678103,,,,,
BQK,,,,,,,1.5590514631685166,,1.9544471673634136,,,,,,,,,1.8868950993726146,,,,,
BQN,,,,,,,,,,,1.833725754008297,,,2.44372351160444,,,,,,1.7714592623938024,,1.7106831857084128,
BRD,,,,,,,,,,,,,,,,,,1.5844918314416525,,,,,
BRO,,,,,1.2692986881937438,,,1.4057789950827289,2.388729333229838,1.4849758941585378,,,,,1.7260874183440438,1.3612512613521695,1.1392532795156407,1.4395616890038516,,,,,
BRW,,1.3927746411922175,,,,,,,,,,,,,,,,,,,,,
BTM,,,,,,,,,,,,,,,,,,1.345873189282051,,,,,
BTR,,,,,2.110872855701312,1.2776500129068595,1.5800731170700237,1.7468627907578462,4.023785498053914,2.0731920618903463,,,,,1.565429289134122,1.7266305843500596,1.1208265695608302,1.6939544508168454,,,,1.0424407906452187,
BTV,,,,1.952148281905571,,1.3314467892189121,2.415199481904303,1.4866960539593181,2.8423590088574953,1.888380035705969,1.1421908285682252,,,2.298780692902792,1.5229417700480798,2.203638718616805,2.1225473707814775,1.512632208394065,,,1.2263706693575513,1.867204843592331,
BUF,2.005297679112008,,,2.1426632798636,2.5834174234779685,2.3966639930312987,2.744077651242131,1.786487478213008,2.5549161200807267,2.239488731920619,2.2214407277437234,,,3.067411582289385,1.550473492199022,1.9086866544664693,2.31011865409374,1.696011227484139,3.4283229920346954,,1.8423200105295485,1.9671152522232807,
BUR,,1.770558962284492,,2.1279357353435824,,1.250192912684751,,1.0713084426505213,,,1.3695257315842584,,1.0343087790110999,1.6533243637179056,2.0090121437767494,,,3.353649512277161,2.361722166162126,1.3783652875882946,1.070635721493441,1.7719646308300123,
