airport,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,ExpressJet Airlines LLC,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Horizon Air,JetBlue Airways,Mesa Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
ABE,1.6133841149116628,1.6133841149116628,2.3964698681576815,1.6133841149116628,1.6133841149116628,1.2080810628994283,1.4638916918937102,1.368294239996705,2.320566920466012,1.2076185671039354,1.6133841149116628,1.6133841149116628,1.6133841149116628,1.6133841149116628,1.275882946518668,1.7626877188817,1.1594349142280524,1.9709132189707366,1.6133841149116628,1.6133841149116628,1.6133841149116628,1.6133841149116628,1.6133841149116628
ABI,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446,3.05146316851665,2.1844278430113446,2.1844278430113446,2.52130538482708,1.4325176589303734,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446,1.732425159771275,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446,2.1844278430113446
ABQ,1.7613189829913283,1.244131765327197,1.1771224035184586,2.8410642014691363,2.5251009081735623,1.7743642361081668,1.7613189829913283,1.5527845850752007,1.5433980450923988,1.2544778002018164,1.3058815049733314,1.7613189829913283,1.0620197159046807,1.4311168941526369,2.3780692902791793,1.7613189829913283,1.223617823570025,3.1174967228420267,2.7157753111335348,1.4148102150120314,1.0954303012829754,2.047079969727548,1.7613189829913283
ABR,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265,1.4965607130844265
ABY,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.4555467290722888,1.7848800905452102,1.9666179287052863,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.9324756138580559,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102,1.7848800905452102
ACK,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.4177159654279823,1.2045072317524386,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782,2.166745996991794,1.5745177778568782,1.5745177778568782,1.5091019172552977,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782,1.5745177778568782
ACT,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067,2.1128910191725527,2.065259800169067,2.065259800169067,1.9435317860746721,2.4168203486551376,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067,1.7877960467739062,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067,2.065259800169067
ACV,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416,2.7893517851136416
ACY,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,1.6112792914003813,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,2.4434465747281084,3.2756138580558356,2.4434465747281084,2.4434465747281084,2.4434465747281084
ADK,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852,1.0621043940922852
ADQ,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272,1.3115727497894272
AEX,1.8995561934024225,1.8995561934024225,1.8995561934024225,1.8995561934024225,1.989656912209889,1.8995561934024225,1.6515250154617362,1.7001345442314162,2.804666238571385,1.748065926673394,1.8995561934024225,1.8995561934024225,1.8995561934024225,1.8995561934024225,1.8995561934024225,1.4838158813940852,1.8995561934024225,1.9190288352750513,1.8995561934024225,1.8995561934024225,1.8995561934024225,1.8995561934024225,1.8995561934024225
AGS,1.6977408606135995,1.6977408606135995,1.6977408606135995,1.2421796165489405,1.6977408606135995,1.5537419190295072,1.8806572586110817,1.4328750420450724,2.4340565085771946,1.6977408606135995,1.6977408606135995,1.6977408606135995,1.6977408606135995,1.6977408606135995,1.8453077699293643,2.2083829088663647,1.3804238143289607,1.9503387631541012,1.6977408606135995,1.6977408606135995,1.6977408606135995,1.0494450050454087,1.6977408606135995
AKN,1.2085393541876892,1.1290867810292633,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.287991927346115,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892,1.2085393541876892
ALB,1.778362844414191,1.778362844414191,1.4387027103581356,1.789193651958536,1.778362844414191,1.8739251554589598,1.5806355560702057,1.543773965691221,1.7828323766356222,1.259460141271443,1.3726337033299698,1.778362844414191,1.778362844414191,1.9591050638542582,1.2901350247465282,2.4441448445848706,1.625810869251838,1.84825191428741,3.360707909648374,1.778362844414191,1.3709033475189751,1.9135892759607107,1.778362844414191
ALO,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,2.005676084762866,1.8477506280306786,1.8477506280306786,1.5223274531020143,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,2.0152483462271555,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786,1.8477506280306786
ALS,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333,1.7937941473259333
ALW,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.3074335687857384,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.1730575176589304,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343,1.2402455432223343
AMA,1.8765984856865665,1.8765984856865665,1.164143962327615,1.8441178943827783,1.608728557013118,1.8765984856865665,1.8765984856865665,1.671285471684182,1.8858579676101304,1.8366633030608812,1.8765984856865665,1.8765984856865665,1.8765984856865665,1.8765984856865665,2.6192466895941022,1.8765984856865665,1.8765984856865665,1.7518520341611086,2.507490491345184,1.8765984856865665,1.8765984856865665,1.8765984856865665,1.8765984856865665
ANC,1.9256741425545878,4.157858224016145,1.0,1.9023364123263216,1.9256741425545878,2.211458683708936,1.9256741425545878,1.9256741425545878,1.9256741425545878,1.9256741425545878,1.1661621257988564,1.9256741425545878,2.7317764643698044,1.7341528300155948,1.9256741425545878,1.9256741425545878,1.9256741425545878,1.9256741425545878,1.9256741425545878,1.9256741425545878,1.2352037906374764,2.0385799784265286,1.0792129162462158
APN,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471,1.645761432726471
ART,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.7605953582240161,1.6389449489853123,1.6389449489853123,1.4243188698284561,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.7319206189034646,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123,1.6389449489853123
ASE,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,1.935822401614531,2.2266751100036384,2.2266751100036384,1.8413218970736631,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.902881031322721,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384,2.2266751100036384
ATL,2.8915217046632073,1.3481248592706256,2.8915217046632073,3.6708558847812127,4.955600403632694,2.8915217046632073,3.7643794147325935,1.79803229061554,1.0615539858728558,1.749915909855365,2.9734868720444787,2.8915217046632073,2.8915217046632073,2.9432332856170653,2.54784128585844,2.0363566213569184,3.2901703567400724,2.665328868911109,3.4266397578203835,3.612041708711739,4.257407577286488,3.054899896166952,2.8915217046632073
ATW,1.6764234705129128,1.6764234705129128,1.7742860346291225,1.6764234705129128,1.6764234705129128,1.35177550333958,1.6799221159449127,1.5903128153380424,2.2871881415498105,1.6764234705129128,1.6764234705129128,1.6764234705129128,1.6764234705129128,1.6764234705129128,1.6764234705129128,1.2108980827447022,1.2748065926673393,2.242198477889793,1.6764234705129128,1.6764234705129128,1.6764234705129128,1.6764234705129128,1.6764234705129128
